fold,seed,best_val_rmse,test_rmse,test_r2,mean_uncertainty,mci,pcar,calib_alpha,calib_beta,slsp_drift_w,slsp_drift_b,physics_auc
0.0,0.0,0.451598784036195,0.4549289970928242,0.8734222653613549,0.16772763,0.0888155904762885,0.0,0.8425115346908569,-0.1697167307138443,0.0034029956441372,0.0015169605612754,0.0
1.0,0.0,0.5882614189772534,0.5809318715909453,0.793594869906121,0.16772763,0.4568352594095118,0.05882353,0.8920742869377136,-0.1111183539032936,0.0023152874782681,0.0009444579482078,0.0
2.0,0.0,0.34010485636331,0.4723661083456019,0.8635330329033404,0.16772763,0.3757442218415877,0.05882353,0.8710928559303284,-0.1262523978948593,0.0033860884141176,0.0010963529348373,0.0
3.0,0.0,0.3125928751188354,0.4677813308739518,0.8661692690382303,0.16772763,0.3024532273411751,0.0,0.8542247414588928,-0.1524291038513183,0.0034155317116528,0.0013458505272865,0.0
4.0,0.0,0.6980176574958477,0.4927637591852621,0.8514927694759761,0.16772763,0.3105640579015016,0.0,0.873131275177002,-0.1376315951347351,0.0028782251756638,0.0012076273560523,0.0
0.0,1.0,0.2133667588936359,0.4802146762345575,0.8589604423413119,0.16772763,0.0822767974699244,0.0,0.8612697124481201,-0.1430187970399856,0.0030417847447097,0.0012572482228279,0.0
1.0,1.0,0.5649905368856041,0.4877874141425755,0.8544771268524077,0.16772763,0.3018392447163077,0.0,0.8651228547096252,-0.140674889087677,0.0029812997672706,0.0012351348996162,0.0
2.0,1.0,0.3533355074553557,0.4792332868897967,0.8595363234648901,0.16772763,0.431071912541109,0.05882353,0.8562614321708679,-0.1456132233142852,0.003359590191394,0.0012820288538932,0.0
3.0,1.0,0.7010978291283892,0.4877782916576467,0.8544825698702677,0.16772763,0.275202989578247,0.0,0.8693842887878418,-0.1379205137491226,0.0029494587797671,0.0012067705392837,0.0
4.0,1.0,0.6330028925206475,0.658804191522171,0.7345499649849152,0.16772763,0.3652879558503628,0.3125,0.9055200219154358,-0.0970565751194953,0.0020138225518167,0.0008081570267677,0.0
0.0,2.0,0.5520372483420558,0.4835164113582036,0.8570143287847332,0.16772763,0.2339692185906803,0.0,0.8620526194572449,-0.1426586806774139,0.0032680972944945,0.0012503936886787,0.0
1.0,2.0,0.232830965876808,0.4752013800732457,0.8618898915779348,0.16772763,0.1107141410603242,0.0,0.825573742389679,-0.1656898558139801,0.005186318885535,0.001496210694313,0.0
2.0,2.0,0.3349900841795621,0.4615922065718144,0.8696872184278569,0.16772763,0.3850112522349638,0.05882353,0.8279833197593689,-0.17596136033535,0.0037266057915985,0.001582495868206,0.0
3.0,2.0,0.8217765699477338,0.6413684073172916,0.7484147319362988,0.16772763,0.4579270612448454,0.0625,0.9019219875335692,-0.1008246913552284,0.0021630367264151,0.0008455887436866,0.0
4.0,2.0,0.3727794240805575,0.4647281853252926,0.8679105580542339,0.16772763,0.1797364465892315,0.0,0.8447304368019104,-0.1677310168743133,0.0034383130259811,0.0014926791191101,0.0
0.0,3.0,0.7477784427536288,0.7109921290852257,0.6908283486247664,0.16772763,0.3563360116061043,0.05882353,0.9091259837150574,-0.0926157236099243,0.0020197841804474,0.0007875338196754,0.0
1.0,3.0,0.6265799377196504,0.7577877816979333,0.6487912908242113,0.16772763,0.4252679733669057,0.05882353,0.9186380505561828,-0.0835936963558197,0.0017403819365426,0.0006778910756111,0.0
2.0,3.0,0.5287287178390248,0.4729992589090825,0.8631669522603025,0.16772763,0.3685747367494246,0.05882353,0.8594806790351868,-0.1483941823244094,0.0030441945418715,0.0013059079647064,0.0
3.0,3.0,0.3527927167981186,0.4660638600578333,0.8671501907163487,0.16772763,0.1518682148307562,0.0,0.8440256714820862,-0.1583720743656158,0.0037813882809132,0.0014092475175857,0.0
4.0,3.0,0.3451727258921838,0.4714038572760285,0.864088456894052,0.16772763,0.0658706976100802,0.0,0.8374213576316833,-0.1672662645578384,0.0036751865409314,0.001496322453022,0.0
0.0,4.0,0.579667462122067,0.47126746916958,0.8641670902618986,0.16772763,0.2900457154302036,0.0,0.8664796352386475,-0.1362035423517227,0.0031626590061932,0.0011919289827346,0.0
1.0,4.0,0.3728985984467383,0.4993449021318567,0.8474994813673588,0.16772763,0.3063491021885591,0.0,0.8670793175697327,-0.1357382535934448,0.0028294092044234,0.0011834427714347,0.0
2.0,4.0,0.7055380476072748,0.5515625907164717,0.813937142956068,0.16772763,0.348075673860662,0.05882353,0.8860750794410706,-0.1165762692689895,0.002498977119103,0.0009997561573982,0.0
3.0,4.0,0.2622891614989603,0.4885310202156203,0.854033104843656,0.16772763,0.1397804040461778,0.0,0.829782247543335,-0.1723630130290985,0.0047128139995038,0.0015549212694168,0.0
4.0,4.0,0.5328954208939413,0.4848145232389328,0.8562455418206352,0.16772763,0.5046900250017643,0.1875,0.8653097748756409,-0.1442770212888717,0.0030383479315787,0.001262605190277,0.0
