fold,seed,best_val_rmse,test_rmse,test_r2,mean_uncertainty,mci,pcar,calib_alpha,calib_beta,slsp_drift_w,slsp_drift_b,physics_auc
0.0,0.0,1.7206558008819095,2.384882389536137,-2.47859615881194,0.82150096,0.029010391629794,0.0,1.484960436820984,0.4697823524475097,0.0203459095209836,0.0048086047172546,0.0
1.0,0.0,1.3005610012509732,1.5906538641516508,-0.5474671888385392,0.82150096,0.3172594431568594,0.3529412,0.942144215106964,0.2823125422000885,0.0133797582238912,0.0026283264160156,0.0
2.0,0.0,2.340744274819244,2.458442624575694,-2.696495943717049,0.82150096,0.026484936256619,0.0,1.4852699041366575,0.4701884090900421,0.0194271691143512,0.0048129856586456,0.0
3.0,0.0,1.0747806150443526,1.6082740481260298,-0.581940656558565,0.82150096,0.0358498668065294,0.0,1.2898067235946655,0.3198950588703155,0.0129887172952294,0.0032233595848083,0.0
4.0,0.0,1.8610326757572253,2.175577275002755,-1.8948036210025323,0.82150096,0.3680091612040996,0.1875,1.4835275411605835,0.4600162506103515,0.0222181677818298,0.0047130361199378,0.0
0.0,1.0,3.287891870809512,3.336325651077961,-5.807802511554276,0.82150096,0.0765871988499865,0.0,0.5529983043670654,0.4973551034927368,0.021964019164443,0.0044577419757843,0.0
1.0,1.0,2.360394933109052,2.954850280250088,-4.339997338802539,0.82150096,0.2144464534871718,0.0,0.9372574687004088,0.4584749639034271,0.0210951771587133,0.0043610222637653,0.0
2.0,1.0,2.276928679596528,2.227512998465634,-2.0346637276296846,0.82150096,0.0317204594612121,0.0,1.4826383590698242,0.4681046605110168,0.0203126892447471,0.00478957593441,0.0
3.0,1.0,2.4695348845496627,3.22852265923698,-5.37496430466812,0.82150096,0.0503659278620034,0.0,0.4987405836582184,0.5338305234909058,0.0185693446546793,0.00476885586977,0.0
4.0,1.0,2.9278204313497778,3.4904742573955136,-6.451418547617212,0.82150096,0.0427862086798995,0.0,0.4665230214595794,0.5365177392959595,0.0170460361987352,0.0047574490308761,0.0
0.0,2.0,3.281782537957866,3.4127761439648023,-6.123372975246464,0.82150096,0.0373930875211954,0.0,0.4680834710597992,0.5372633934020996,0.0213152077049016,0.004768531769514,0.0
1.0,2.0,2.037549340783409,2.1707677679035005,-1.88201879415516,0.82150096,0.446075637550915,0.11764706,1.4851477146148682,0.4693388938903808,0.0174925997853279,0.0048042405396699,0.0
2.0,2.0,2.906090668022081,3.338331242978995,-5.815989828309251,0.82150096,0.030196270741084,0.0,0.4777950048446655,0.5362871885299683,0.0205743890255689,0.0047740563750267,0.0
3.0,2.0,1.0681183906138525,1.7617211408086295,-0.8982106757784343,0.82150096,0.0346385401207953,0.0,1.4829962253570557,0.4749773442745209,0.0218118503689765,0.004858948290348,0.0
4.0,2.0,2.63179985328795,2.7051507603628653,-3.47561815797399,0.82150096,0.0247044615680351,0.0,1.483766794204712,0.4719361960887909,0.0203318260610103,0.0048303380608558,0.0
0.0,3.0,1.161353864801061,1.4703875031146272,-0.3223112280690459,0.82150096,0.035675959990305,0.0,1.4807913303375244,0.4733172059059143,0.0230117719620466,0.0048427861183881,0.0
1.0,3.0,3.086945014597081,2.7633093663336243,-3.6701313754690768,0.82150096,0.2038522923693937,0.0,0.7953198552131653,0.3807195425033569,0.0214164722710847,0.0034816116094589,0.0
2.0,3.0,1.9191292349741884,2.397339096824124,-2.5150298376295783,0.82150096,0.0329863142003031,0.0,1.4846104383468628,0.4686650931835174,0.021397415548563,0.0047963410615921,0.0
3.0,3.0,1.5316363121589522,2.452568624810522,-2.678852842181401,0.82150096,0.0359218365047127,0.0,1.4886823892593384,0.4707227051258087,0.0222159177064895,0.0048201978206634,0.0
4.0,3.0,2.75064256462987,3.179829549482861,-5.184117908226015,0.82150096,0.0333037734962999,0.0,0.5322888493537903,0.533012330532074,0.0228963382542133,0.0047970414161682,0.0
0.0,4.0,2.372672120009732,2.711448233499636,-3.496480501292501,0.82150096,0.0182813708396518,0.0,1.4853109121322632,0.4711207151412964,0.02014035359025,0.0048214644193649,0.0
1.0,4.0,3.309846007280782,3.746255232314749,-7.583507772907238,0.82150096,0.0527187263702645,0.0,0.4635124206542969,0.5388309359550476,0.0199204664677381,0.0047807097434997,0.0
2.0,4.0,2.763801757949967,3.160828041714409,-5.110430642060424,0.82150096,0.0378496951478369,0.0,0.5498278141021729,0.5317153334617615,0.0194162596017122,0.0047994554042816,0.0
3.0,4.0,2.895450502120768,3.13749071883469,-5.0205335277266805,0.82150096,0.0354656248819083,0.0,0.767562210559845,0.5148811340332031,0.0220998227596282,0.0048222988843917,0.0
4.0,4.0,2.748837007553892,3.2262829146172822,-5.366122279493665,0.82150096,0.0405356622068211,0.0,0.4865571558475494,0.537656843662262,0.021779952570796,0.0047929286956787,0.0
