fold,seed,best_val_rmse,test_rmse,test_r2,mean_uncertainty,mci,pcar,calib_alpha,calib_beta,slsp_drift_w,slsp_drift_b,physics_auc
0.0,0.0,0.4269026632508991,0.5702964563621356,0.8010832175414128,0.11111046,0.3598486500627854,0.8235294,0.9266314506530762,-0.0766131877899169,0.0016775256954133,0.0006143897771835,0.0
1.0,0.0,0.5493314572405092,0.5871710091096183,0.7891375302133663,0.11111046,0.3100515779326944,0.64705884,0.9303499460220336,-0.0739830210804939,0.0014144906308501,0.0005863383412361,0.0
2.0,0.0,0.4996110393395211,0.6388859755089329,0.750358496580722,0.11111046,0.3172229002503788,1.0,0.9369242191314696,-0.0634816363453865,0.0012177946045994,0.0004824623465538,0.0
3.0,0.0,0.304895144846053,0.5800462850509934,0.7942236881530844,0.11111046,0.2712480761110782,0.75,0.9291893243789672,-0.0748517885804176,0.0016089442651718,0.0005956292152404,0.0
4.0,0.0,0.6967661583981111,0.5718603617028707,0.7999907556933427,0.11111046,0.2774364277720451,0.75,0.92401385307312,-0.0852299183607101,0.0017434293404221,0.000700369477272,0.0
0.0,1.0,0.2740162754220073,0.5790867256516857,0.794903948596452,0.11111046,0.3149579675758586,0.7647059,0.9321683645248412,-0.0691119134426117,0.0013651753542944,0.0005398690700531,0.0
1.0,1.0,0.4732964351825606,0.555031854609908,0.8115891548004024,0.11111046,0.3102075580288382,0.7647059,0.9172365665435792,-0.0879343077540397,0.0019507239339873,0.0007293596863746,0.0
2.0,1.0,0.4618622107708841,0.6266087642029944,0.7598608275863482,0.11111046,0.3018106046844931,0.88235295,0.9345842599868774,-0.066588282585144,0.001276483759284,0.0005131140351295,0.0
3.0,1.0,0.6607075226322588,0.568713916475872,0.8021856510968404,0.11111046,0.3294702693819999,0.8125,0.930244505405426,-0.0763207972049713,0.0017909704474732,0.0006112232804298,0.0
4.0,1.0,0.6300794006484032,0.5782130557264367,0.7955223398478564,0.11111046,0.3099597375839948,0.8125,0.9293909072875975,-0.0759804919362068,0.0014240581076592,0.0006053820252418,0.0
0.0,2.0,0.479188511925356,0.5580008635993806,0.8095680467911437,0.11111046,0.458175869549022,0.8235294,0.9215301275253296,-0.0853841677308082,0.001905181678012,0.0007004961371421,0.0
1.0,2.0,0.3892149971580338,0.5670927869476611,0.8033117906790732,0.11111046,0.3589963176671196,0.64705884,0.924632966518402,-0.0713731795549392,0.0025643124245107,0.0005668699741363,0.0
2.0,2.0,0.3791985413345162,0.567185536590264,0.8032474475826119,0.11111046,0.3971916542333715,0.7647059,0.9203543066978456,-0.0838212221860885,0.0017827623523771,0.0006873458623886,0.0
3.0,2.0,0.7924486103660168,0.5813361462842699,0.7933074922994787,0.11111046,0.3471356965601444,0.8125,0.9312697052955629,-0.0736564099788665,0.0014110741904005,0.0005857869982719,0.0
4.0,2.0,0.3351922345641639,0.588123586913183,0.7884528034918136,0.11111046,0.2815479859709739,0.8125,0.9336065649986268,-0.0711377784609794,0.001468356931582,0.0005595460534095,0.0
0.0,3.0,0.4608539151065928,0.5755857353882328,0.7973763546067805,0.11111046,0.3436579213422887,0.7058824,0.9267591238021852,-0.0778300389647483,0.0015687770210206,0.0006239265203475,0.0
1.0,3.0,0.7135876145661768,0.6408701176140792,0.7488055015753623,0.11111046,0.3802834118113798,0.88235295,0.9372981190681458,-0.0644057616591453,0.0012333199847489,0.0004907250404357,0.0
2.0,3.0,0.480330812347347,0.5633724986056248,0.8058839858085383,0.11111046,0.2509633653304156,0.7647059,0.9200328588485718,-0.0873332470655441,0.0017176030669361,0.0007193908095359,0.0
3.0,3.0,0.3596654962263825,0.5797679258422259,0.7944211413177721,0.11111046,0.3630319349467754,0.9375,0.929300844669342,-0.0731356590986251,0.0016651495825499,0.0005786716938018,0.0
4.0,3.0,0.4564343556172671,0.5858161477106963,0.7901095121773423,0.11111046,0.3590265624225139,0.8125,0.9358577132225036,-0.0650418996810913,0.0013943562516942,0.0005006045103073,0.0
0.0,4.0,0.6068709976605051,0.5675551043560624,0.802990963289965,0.11111046,0.4271908858243156,0.8235294,0.9243229627609252,-0.0786928609013557,0.0022598172072321,0.0006370916962623,0.0
1.0,4.0,0.2936193917999155,0.591348960860023,0.7861261163464409,0.11111046,0.2970240081057829,0.7058824,0.9323737621307372,-0.0695894137024879,0.0015827058814466,0.0005441009998321,0.0
2.0,4.0,0.6374656134748911,0.5819867279388938,0.7928446083093021,0.11111046,0.3511414194808286,0.8235294,0.927251398563385,-0.0772931352257728,0.0014746547676622,0.0006190836429595,0.0
3.0,4.0,0.4114177155415807,0.5815519467704272,0.793154009249011,0.11111046,0.3044707346707582,0.625,0.9351113438606262,-0.067704789340496,0.0017796109896153,0.000528484582901,0.0
4.0,4.0,0.4378715373785342,0.5807078082798257,0.7937540586176884,0.11111046,0.3419018797576427,0.9375,0.927868902683258,-0.0768924057483673,0.0015495067927986,0.000613085925579,0.0
