fold,seed,best_val_rmse,test_rmse,test_r2,mean_uncertainty,mci,pcar,calib_alpha,calib_beta,slsp_drift_w,slsp_drift_b,physics_auc
0.0,0.0,0.4291136824499263,0.5642321810116763,0.8052911082825842,0.2633812,0.2711193316123065,0.0,0.9298020005226136,-0.072387620806694,0.0016180999809876,0.0006033033132553,0.0
1.0,0.0,0.552485239265735,0.5528087347197341,0.8130954505024333,0.2633812,0.4365530645146089,0.05882353,0.9158186316490172,-0.0902777314186096,0.0020863604731857,0.0007774531841278,0.0
2.0,0.0,0.6153121109040139,0.7152436387705615,0.6871197948889215,0.2633812,0.3781938903472003,0.0,0.95389062166214,-0.0442657992243766,0.0008033275953494,0.0003260448575019,0.0
3.0,0.0,0.3218962303392106,0.5780694428999497,0.7956239009164494,0.2633812,0.2130704652518034,0.0,0.929355263710022,-0.0720326378941536,0.0018620438640937,0.0006055980920791,0.0
4.0,0.0,1.1226883456083825,1.009985635605501,0.3761208468587762,0.2633812,0.3789067417383194,0.25,0.980569064617157,-0.01922307908535,0.000198346824618,7.340312004089355e-05,0.0
0.0,1.0,0.252721802938149,0.556657118854765,0.8104841164285773,0.2633812,0.2321142826010199,0.0,0.927172064781189,-0.0728092864155769,0.0017417341005057,0.0006057918071746,0.0
1.0,1.0,0.486168426713559,0.5283232927353363,0.8292858200097879,0.2633812,0.4218941471155952,0.05882353,0.903117060661316,-0.1010659262537956,0.0027708746492862,0.0008927956223487,0.0
2.0,1.0,0.4417354846892253,0.586057690550601,0.7899363930290779,0.2633812,0.3332362350295572,0.0,0.9320447444915771,-0.0690622776746749,0.0014071279438212,0.0005671083927154,0.0
3.0,1.0,0.6768042787645937,0.5595077621100363,0.808538123291844,0.2633812,0.2081483881920576,0.0,0.9287850260734558,-0.0732389166951179,0.0016654699575155,0.0006100982427597,0.0
4.0,1.0,0.6627262354492705,0.7366459795267835,0.6681149226699619,0.2633812,0.4636910054832697,0.0,0.955318570137024,-0.0446919463574886,0.0008216685382649,0.0003221780061721,0.0
0.0,2.0,0.657027537606575,0.8118847561110835,0.5968572498789504,0.2633812,0.4565326483810649,0.0,0.9538934230804444,-0.0462617091834545,0.000868369708769,0.0003386214375495,0.0
1.0,2.0,0.3799949348480799,0.5923262000127967,0.7854186537683581,0.2633812,0.266888876171673,0.0,0.9294525384902954,-0.0676555857062339,0.001621687086299,0.000564232468605,0.0
2.0,2.0,0.6883617176135841,0.9811116130596736,0.4112825451587731,0.2633812,0.3604931761236751,0.5882353,0.985521912574768,-0.014324378222227,7.43874697946012e-05,2.870708703994751e-05,0.0
3.0,2.0,0.7694208661307537,0.5398789089391133,0.8217363466371546,0.2633812,0.4107191991060972,0.0625,0.9116706252098083,-0.1000446751713752,0.0026181642897427,0.0008791908621788,0.0
4.0,2.0,0.4032680099786437,0.5665692304900958,0.8036747995151498,0.2633812,0.1981116449460387,0.0,0.9283775687217712,-0.0807852745056152,0.002006470458582,0.0006911009550094,0.0
0.0,3.0,0.4683728581791774,0.530730295085569,0.827726753904602,0.2633812,0.0739471623126198,0.0,0.9137461185455322,-0.1006016060709953,0.0027670806739479,0.0008838176727294,0.0
1.0,3.0,0.6682525898985517,0.6283213069891243,0.7585464170353492,0.2633812,0.2644015375305624,0.0,0.9339980483055116,-0.0669273287057876,0.0015361057594418,0.0005520209670066,0.0
2.0,3.0,0.4776815867111552,0.5423635606081046,0.82009174709677,0.2633812,0.1119908716748742,0.0,0.9071767330169678,-0.0975070148706436,0.0022878195159137,0.0008547455072402,0.0
3.0,3.0,0.3741661282060568,0.5564162778055141,0.8106480713257664,0.2633812,0.2265036916360259,0.0,0.9232351779937744,-0.0773092284798622,0.0019289085175842,0.0006530582904815,0.0
4.0,3.0,0.4576208043865425,0.5673178051131973,0.8031556708984395,0.2633812,0.2583951894193887,0.0,0.9346861839294434,-0.0674686357378959,0.0017163056181743,0.0005544051527976,0.0
0.0,4.0,0.5962993552762035,0.5516029295339797,0.8139099263528284,0.2633812,0.160603461020133,0.0,0.9266352653503418,-0.0762006044387817,0.0019576782360672,0.0006409287452697,0.0
1.0,4.0,0.3202451191004888,0.5675483254184176,0.8029956694550203,0.2633812,0.182724415379412,0.0,0.9337086081504822,-0.0689185708761215,0.0019901364576071,0.0005676299333572,0.0
2.0,4.0,0.6364988855202673,0.5847484673207833,0.7908738876404794,0.2633812,0.3599339074948254,0.0,0.9366000890731812,-0.0641449317336082,0.001223471481353,0.0005178153514862,0.0
3.0,4.0,0.373694364499828,0.5530202171085494,0.8129524188213132,0.2633812,0.0590762398205697,0.0,0.9284074902534484,-0.0693975314497947,0.0026871522422879,0.0005808323621749,0.0
4.0,4.0,0.4369653799024595,0.5438286038317345,0.819118490887219,0.2633812,0.4450485929846763,0.1875,0.918317973613739,-0.0869937688112258,0.0019461984047666,0.0007450580596923,0.0
